ENERGY,NELE_1,NELE_2,NELE_3,NELE_4,NELE_5,NELE_6,NELE_7,NELE_8
0.88,0.0,0.0,1.8068088361092152e-24,3.8379120691654735e-23,1.3582657079112568e-23,5.586690461355266e-23,6.399133106308265e-21,1.2788359884527685e-22
0.89,0.0,0.0,1.2758919500906231e-24,2.7514121229121034e-23,5.884829472291752e-24,4.338770052630304e-23,3.7793421312358e-21,2.031844272671168e-23
0.9,0.0,0.0,9.45312572150026e-25,2.1787498568686153e-23,1.4492310622552524e-23,1.8696193961008946e-22,2.3994160393727457e-21,1.6478333879476142e-23
0.91,0.0,0.0,8.010082251105123e-25,1.814945513862267e-23,7.08218961116797e-24,7.825035283391339e-23,1.6097078330567334e-21,1.0010205995700144e-21
0.92,0.0,0.0,6.108417648825353e-25,1.561484613475597e-23,5.136060947316224e-24,4.3233164650215356e-23,1.1282905691998624e-21,3.0004880788734633e-23
0.93,0.0,0.0,1.8369116011524193e-23,1.3735313131844534e-23,4.1696291883142046e-24,3.4983843723909204e-23,8.523431424081258e-22,2.1712594683389457e-23
0.94,0.0,0.0,8.001157735314652e-24,3.9306661650470046e-22,3.575706185979128e-24,9.448772539687603e-23,6.373850149052055e-22,1.8636421041462607e-23
0.95,0.0,0.0,3.692153823721414e-24,5.108011667985264e-23,3.070163429634289e-24,5.039429561636815e-23,5.58700430538141e-22,1.7018274001038987e-23
0.96,0.0,0.0,2.4634354426039008e-24,4.531514432928284e-23,2.6744993854780783e-24,3.6113508327556307e-23,4.122398981229196e-22,1.596355351480186e-23
0.97,0.0,0.0,1.922460073453761e-24,7.036108823682272e-21,2.669792227586134e-24,3.03131104475872e-23,1.0098544662804453e-21,6.302470477066228e-23
0.98,0.0,0.0,1.5993428854631248e-24,1.0441160950453154e-19,4.2698900757258774e-24,2.6803775892025465e-23,1.5667612163272895e-21,3.208142903863367e-23
0.99,0.0,0.0,1.29070481549405e-24,9.293828270370668e-21,2.6459988013168406e-24,2.432046939291976e-23,1.3415707139103377e-21,2.49332207303479e-23
1.0,0.0,0.0,1.1457789570463088e-24,8.627603293009438e-21,4.264214402622283e-23,2.2415207979288333e-23,4.986728802823172e-22,2.1609627071720943e-23
1.01,0.0,0.0,1.036166490482769e-24,1.5162812560392142e-21,1.3093696341306669e-23,3.22888172081686e-23,3.278714135328386e-21,1.9527056728654918e-23
1.02,0.0,0.0,1.1393183582480025e-23,6.905002410158207e-22,8.423773450103819e-24,3.166236929787695e-22,2.7556185276488784e-22,1.818352097902946e-23
1.03,0.0,0.0,9.424737529800741e-24,3.9617380899841665e-22,2.0010868505321077e-23,1.5125835219552657e-22,3.1644571747691964e-22,1.7193327154141225e-23
1.04,0.0,0.0,5.2943839084821794e-24,2.563415140893863e-22,1.191039222159401e-23,1.0210992585522404e-22,4.679554886377845e-22,1.6422609284765892e-23
1.05,0.0,0.0,3.867411728719999e-24,6.5953341978486215e-21,9.040485748494475e-24,7.836319557567604e-23,6.807848364996845e-22,1.579876319352728e-23
1.06,0.0,0.0,2.928882234652384e-24,2.623536589936613e-22,7.488949287303817e-24,6.444343489606749e-23,1.726132998292208e-16,1.527876262776589e-23
1.07,0.0,1.1667586571402874e-22,2.4789899025194435e-24,2.1666491727355087e-22,6.4948045844890715e-24,1.2552296178577076e-22,3.2327008112215013e-19,1.483535912435685e-23
1.08,0.0,1.7591506342777587e-23,2.169725276655754e-24,3.042127226307302e-22,5.794894355624896e-24,1.9907098240412355e-22,5.908095261951681e-20,1.4450381121570705e-23
1.09,0.0,9.464551002568094e-24,1.9429502567908136e-24,1.8414462590493554e-17,5.271530433919934e-24,1.3033663306899211e-22,1.9755408527383348e-20,1.411119821579679e-23
1.1,0.0,6.376503834070707e-24,1.7689533878133117e-24,6.038534453880999e-19,4.8633866522667874e-24,7.419302134463478e-23,8.938873034704911e-21,1.371056609719599e-23
1.11,0.0,4.914612662078576e-24,1.5325944668565005e-24,1.1391777286648048e-19,4.535064706550027e-24,5.998070687970673e-23,4.2015236279866105e-17,1.3440045711239588e-23
1.12,0.0,4.022755591597927e-24,1.6239344254432938e-23,3.746035926984328e-20,4.379665226438218e-24,5.195105013102235e-23,2.4308044129211523e-19,1.3194369991147962e-23
1.13,0.0,3.2420893758778697e-24,1.5350675770922515e-23,1.6293516924478444e-20,6.1282032823502405e-24,1.154529499230509e-22,2.7150101212917604e-20,1.286963930006028e-23
1.14,0.0,2.8317713037441173e-24,8.521608713415707e-24,8.39475101113414e-21,4.748517738838567e-24,9.150915745138928e-23,7.159285347986184e-21,1.2565607245579937e-23
1.15,0.0,2.5226336717747706e-24,6.234815788313592e-24,6.207403572326702e-21,8.719155822906867e-23,6.430386844038143e-23,3.1748244648249587e-21,1.2378082092225767e-23
1.16,0.0,6.616332254067842e-22,5.034560373748466e-24,1.036567519712738e-19,2.726675903387851e-23,5.351019495556944e-23,1.5573940424065393e-21,1.210569393613758e-23
1.17,0.0,3.2137471406077306e-23,4.283901332020235e-24,1.6282978681763737e-20,1.7462413766836473e-23,4.8536338614756314e-23,1.0353726046660442e-21,1.1944934103334281e-23
1.18,0.0,1.7064335173564246e-23,3.765619908085893e-24,2.3088033035540762e-21,8.483446093352337e-23,4.313131461929166e-23,6.980389964483444e-22,1.1794316097771126e-23
1.19,0.0,1.2076143526887316e-23,3.2852463346133393e-24,1.2534386950716435e-21,3.020606590021628e-23,3.9678729077097355e-23,5.243181332695231e-22,1.1652701190340556e-23
1.2,0.0,9.523011365944128e-24,2.9023686068538664e-24,9.777986004035334e-22,2.0782626320777395e-23,3.696724112223588e-23,4.088378673279977e-22,1.1519127067402909e-23
1.21,0.0,7.772617106881806e-24,2.67971954017969e-24,7.916991963229128e-22,1.653842662495651e-23,3.473578916522982e-23,3.445906802514728e-22,1.139277386904991e-23
1.22,0.0,6.63722522640827e-24,2.4981493583017792e-24,5.952616872656966e-22,1.4034761691201986e-23,3.2846579627959385e-23,3.2436217612621286e-22,1.1272937905489313e-23
1.23,0.0,5.8865597303160994e-24,1.0268992498627512e-22,4.696718573042047e-22,1.2351976707815762e-23,1.6832127527120967e-22,2.5842141671709646e-22,1.1159011082050936e-23
1.24,0.0,5.31445562926843e-24,9.763511539798165e-23,3.840246726836916e-22,1.113001475312783e-23,8.612100489494491e-23,2.489138333433332e-22,1.1050464623401301e-23
1.25,0.0,4.8629066665086825e-24,2.6633042505720266e-23,3.2068872880302864e-22,1.0195946402616787e-23,5.99386254581179e-23,2.0574339757998302e-22,1.0946836073954829e-23
1.26,0.0,7.326908454290962e-23,1.7315931477148838e-23,2.7246288156180065e-22,9.455281850203818e-24,4.9865945239286155e-23,1.8150788620058232e-22,1.0847718822191007e-23
1.27,0.0,7.523012908834865e-23,1.3146285057667199e-23,6.170293907291045e-19,8.851572467398202e-24,4.3404570078072697e-23,1.6415624235457505e-22,1.0752753588973984e-23
1.28,0.0,3.201213650813454e-23,1.0827322092701457e-23,2.6321757554241893e-20,8.348809612901512e-24,3.9250178268107267e-23,2.5834756984779473e-22,1.066162145849386e-23
1.29,0.0,2.1574369387765334e-23,9.308803711639041e-24,6.592038855919372e-20,1.97579472244736e-21,3.611028004397547e-23,3.2777622373970336e-22,1.0574038131407488e-23
1.3,0.0,1.6411524117426468e-23,8.230904311219373e-24,1.4572156866660867e-20,3.196224721517669e-22,2.0555596567522384e-22,3.378933174564236e-22,1.0489749154172391e-23
1.31,0.0,1.349329879012124e-23,7.324235121276e-24,5.87937060089414e-21,1.8177669435393276e-22,8.886271856068375e-23,1.0644794023282146e-21,1.0408525933997898e-23
1.32,0.0,1.1627707205542435e-23,6.697556369220676e-24,3.07174391121884e-21,1.249685659804394e-22,1.4907863619816812e-22,4.2159098020489493e-22,1.0230210167240833e-23
1.33,0.0,1.0293886320302439e-23,6.099232162542622e-24,2.384233625391596e-21,9.595279202997288e-23,1.6833027546510791e-22,3.595944922256778e-22,1.0155013035480708e-23
1.34,0.0,9.288452776898272e-24,5.692785791205268e-24,1.2971238984363165e-21,1.7537435989583138e-22,9.724918346750173e-23,2.4726905815085496e-22,1.0082319749367444e-23
1.35,0.0,8.31660520741544e-24,5.352436890676329e-24,1.4894490627541137e-21,1.0804872502588993e-22,7.628627188810527e-23,4.528108890526588e-22,1.0011976354164486e-23
1.36,0.0,7.69731571034409e-24,4.1003983851109664e-23,2.4560406104010753e-18,8.435173527274497e-23,6.498667214815954e-23,2.8409031120666324e-22,9.943842370859786e-24
1.37,0.0,7.185992465262092e-24,4.726946091234293e-23,1.6061800778870037e-20,7.07633830878955e-23,5.761579784760982e-23,2.2804372424677777e-22,9.777824114726164e-24
1.38,0.0,7.806227714533624e-23,6.11170443257072e-23,2.7594834211905386e-21,1.2196361970957692e-22,5.2310737966273596e-23,3.2319684925796282e-21,9.713974250106138e-24
1.39,0.0,8.9081276608137e-23,3.404960630642864e-23,1.1607737650751945e-21,8.451136333208911e-23,2.2143000476118956e-22,1.291006283597594e-21,9.651978756911037e-24
1.4,1.0262432210830413e-22,4.5901181349779925e-23,2.4900796249694496e-23,6.848170672577438e-22,6.934278465811031e-23,1.1850482588170685e-22,6.098916009596436e-22,9.591737834644916e-24
1.41,4.146781641366858e-23,3.249488337859302e-23,2.0150216017009727e-23,4.7697606616104855e-22,6.020232432001205e-23,8.94152295016012e-23,6.323810785138116e-22,9.434596162311615e-24
1.42,2.624221596271407e-23,2.5693042969738383e-23,1.7171385111077692e-23,3.643268462220777e-22,5.377344267886265e-23,7.489766818870164e-23,8.367961240822825e-22,9.379178821637184e-24
1.43,1.923774563118134e-23,2.1332044109231347e-23,1.5109730596607227e-23,2.9421461687665457e-22,4.8877283731315373e-23,6.578042625717543e-23,4.1198967142109344e-22,9.325208023396623e-24
1.44,1.5306070954818583e-23,1.858645764701371e-23,1.3492204126367898e-23,2.466413600505386e-22,4.496562924889369e-23,5.948614142251108e-23,3.357305681924762e-22,9.272613119194372e-24
1.45,1.2763269957929757e-23,1.6416411559194605e-23,1.2322105657645095e-23,2.123249755266521e-22,4.173915667862246e-23,5.476160103243966e-23,2.8851373344385907e-22,9.221328396549466e-24
1.46,1.0889007332094373e-23,1.4917124630007922e-23,1.1295558154013223e-23,1.8636917199673858e-22,3.90162119900203e-23,5.1038478067844463e-23,2.567501029631633e-22,9.171292631988458e-24
1.47,9.586025535123011e-24,1.3732177080757958e-23,1.0539841981877495e-23,1.6606159757107846e-22,3.657914913880716e-23,9.633107148364837e-16,3.194567892882023e-20,9.12244869336865e-24
1.48,8.584303997369556e-24,1.2769321129538967e-23,9.909055163096164e-24,1.4975273838870566e-22,3.4548206991803305e-23,2.9347264923897046e-17,4.438902755704786e-21,9.074743185096911e-24
1.49,7.790328056953465e-24,1.1969601190214e-23,9.373735648294309e-24,1.3638089054173646e-22,2.79221694863713e-20,1.4251817732943242e-14,1.7830046139468435e-21,7.296171460032528e-22
1.5,7.145657233691908e-24,1.129350658386293e-23,8.813303232984637e-24,1.2523079487090408e-22,5.201402891923353e-23,1.4649744538135312e-17,1.1198826690510792e-21,1.753659752043176e-22
1.51,6.611891011175446e-24,1.071351981917041e-23,8.413676902904723e-24,1.158023224674131e-22,3.294867669708326e-23,1.4226145719291758e-18,7.395565705386246e-22,1.0404411768852029e-22
1.52,1.3574044885338297e-22,2.238903872122399e-22,1.937009223736129e-22,1.1469489958153203e-22,2.125963003690451e-22,3.8680219261183997e-19,1.3108566764096558e-21,4.379505250086957e-22
1.53,6.453321074944155e-23,9.562651851092784e-23,6.288995674510572e-23,1.149484135045678e-22,3.072896093444555e-22,1.5661768395440691e-19,5.9065795623819125e-22,2.413786340517453e-22
1.54,4.3768411702816955e-23,6.056521979053379e-23,8.948526318245443e-23,4.971642517334286e-22,9.213007071399916e-23,8.153575868139927e-20,2.426268970133221e-21,1.727072137463108e-22
1.55,3.3762701693648067e-23,4.583534839877277e-23,5.539426276327124e-23,2.119951859721007e-22,7.185113262792707e-23,4.296707449978591e-20,5.00688744679596e-22,1.36869952494004e-22
1.56,2.783013125271433e-23,3.748688243222566e-23,4.2023520552056434e-23,3.07807391856741e-22,6.087254542384135e-23,2.5715431136194346e-20,3.9686165465778285e-22,1.1461836222823187e-22
1.57,2.3685778701462362e-23,3.2165069914553015e-23,3.458460845672705e-23,2.3546618275146553e-22,1.0943676723753183e-21,1.722983908147e-20,3.408803383268878e-22,9.937160536836578e-23
1.58,2.087223190298924e-23,2.833251141195368e-23,2.967663186757699e-23,1.7120592900907304e-22,1.9055619689385474e-22,1.1146523636222969e-20,4.1937623696838536e-22,8.823484551477679e-23
1.59,1.874949810354543e-23,2.5554138893834e-23,2.6190706699333394e-23,1.4445396721980233e-22,1.2176428959769536e-22,8.749809818141788e-21,1.481936921706687e-21,7.972533561587486e-23
1.6,1.7086373257044262e-23,2.3395176647605054e-23,2.3660342424562343e-23,1.2806984377117353e-22,9.493043051982047e-23,5.94252562366791e-21,6.217746232101707e-22,2.9490342291298144e-22
1.61,1.5745235731327326e-23,2.1564108600940382e-23,2.1688996722807213e-23,1.1651296230480289e-22,8.010161952634392e-23,4.789360699967052e-21,3.7110654418074368e-22,1.0957717453968133e-22
1.62,1.46389077732321e-23,2.0141866566050994e-23,2.0105013314153123e-23,1.0761359988028991e-22,4.645015035349272e-22,4.030664495179388e-21,3.0901684092335343e-22,8.650997215738275e-23
