ENERGY,XSECTN
45.3,1.1101342078797514e-19
45.4,1.0521424630516388e-19
45.5,1.0004106017122858e-19
45.6,9.538262235248813e-20
45.7,9.115401827444273e-20
45.8,8.728924319355113e-20
45.9,8.373614760205139e-20
46.0,2.2945429967016537e-18
46.1,9.634286365925318e-19
46.2,6.032804303507989e-19
46.3,4.36852670400463e-19
46.4,3.415116222779072e-19
46.5,2.799879268282107e-19
46.6,2.3713194010848475e-19
46.7,2.0563562812865045e-19
46.8,1.8154694476925712e-19
46.9,1.625456060475936e-19
47.0,1.4718238215787681e-19
47.1,1.3450651004603047e-19
47.2,1.2386947678534026e-19
47.3,1.1481431496822545e-19
47.4,1.070101411047385e-19
47.5,1.0021173868406223e-19
47.6,9.423369567533686e-20
47.7,8.893324006872706e-20
47.8,8.419907720410695e-20
47.9,7.994276961272945e-20
48.0,7.609335989316551e-20
48.1,7.259357635416318e-20
48.2,6.939613168398292e-20
48.3,6.646228967659203e-20
48.4,6.375938267371555e-20
48.5,6.126032518140188e-20
48.6,5.89418226194906e-20
48.7,5.678439751779651e-20
48.8,5.477097962241272e-20
48.9,5.2887123540090575e-20
49.0,5.112031773535426e-20
49.1,4.945947481154345e-20
49.2,4.7894976340746017e-20
49.3,4.641836473801055e-20
49.4,4.5022171959577844e-20
49.5,4.3699777622429205e-20
49.6,4.244529083680734e-20
49.7,4.12533515283979e-20
49.8,4.011944657168628e-20
49.9,3.903923971759523e-20
50.0,3.800891204211672e-20
50.1,3.702501081972944e-20
50.2,3.608440587946831e-20
50.3,3.518425208820789e-20
50.4,3.432195698157049e-20
50.5,3.3495152737326844e-20
50.6,3.270167182653008e-20
50.7,3.193952579113605e-20
50.8,3.120668714238117e-20
50.9,3.0501871864502015e-20
51.0,2.98233260572722e-20
51.1,2.9169613275247164e-20
51.2,2.8539403231582514e-20
51.3,2.7931461907050244e-20
51.4,2.7344642760417477e-20
51.5,2.6777878898992685e-20
51.6,2.6230176088465975e-20
51.7,2.5700606498260695e-20
51.8,2.518830309304392e-20
51.9,2.4692454593250516e-20
52.0,2.421230093784776e-20
52.1,2.374712919139144e-20
52.2,2.3296269844964224e-20
52.3,2.2859093467037994e-20
52.4,2.24350076658404e-20
52.5,2.2023454329571376e-20
52.6,2.1623907114924588e-20
52.7,2.123576916595247e-20
52.8,2.085877127025606e-20
52.9,2.049236916135319e-20
53.0,2.0136142573461952e-20
53.1,1.9789693366487142e-20
53.2,1.9452644053340134e-20
53.3,1.9124636445983503e-20
53.4,1.8805330409014313e-20
53.5,1.8494402710796633e-20
53.6,1.8191545963210995e-20
53.7,1.789646764201862e-20
53.8,1.7608889180661847e-20
53.9,1.7328445171487488e-20
54.0,1.7055082613369893e-20
